First _Name,Last_Name,Company,Mobile,Country,Job_Title,Industry,Company_Size,Last_Activity_Days,Web_Engagement_Score
Defective Lead 1,Lead1,Company 463,+91 98765 43210,91,Manager,Healthcare,1000,90,
Defective Lead 2,Lead2,Company 1272,4155552671,91,Director,IT,5,3,5
Defective Lead 3,Lead3,Company 1691,0091-9876543210,United States,,Manufacturing,,1,30
Defective Lead 4,Lead4,Company 1820,(415) 555-2671,USA,Intern,,5,90,30
Defective Lead 5,Lead5,Company 1227,4155552671,91,Manager,Healthcare,50,90,5
Defective Lead 6,Lead6,Company 72,,U.K,Director,Healthcare,,7,70
Defective Lead 7,Lead7,Company 1611,(415) 555-2671,,,Manufacturing,,30,0
Defective Lead 8,Lead8,Company 1989,0044 7700 900123,,VP Sales,IT,,,
Defective Lead 9,Lead9,Company 1699,+44 7700 900123,,Intern,,,,70
Defective Lead 10,Lead10,Company 90,,91,Director,Healthcare,,30,5
Defective Lead 11,Lead11,Company 1919,,USA,VP Sales,IT,,3,90
Defective Lead 12,Lead12,Company 884,+44 7700 900123,91,CEO,IT,200,30,70
Defective Lead 13,Lead13,Company 339,4155552671,India,VP Sales,Manufacturing,20,15,10
Defective Lead 14,Lead14,Company 1205,0044 7700 900123,USA,Manager,Finance,20,7,70
Defective Lead 15,Lead15,Company 1948,,91,Manager,Finance,,90,30
Defective Lead 16,Lead16,Company 1193,(415) 555-2671,India,Director,IT,500,90,90
Defective Lead 17,Lead17,Company 999,(415) 555-2671,India,Intern,Manufacturing,20,15,10
Defective Lead 18,Lead18,Company 657,0091-9876543210,United States,Manager,Manufacturing,200,,5
Defective Lead 19,Lead19,Company 721,0044 7700 900123,United States,Director,Manufacturing,,180,
Defective Lead 20,Lead20,Company 506,0091-9876543210,US,Manager,,,180,30
Defective Lead 21,Lead21,Company 689,9876543210,,CTO,Manufacturing,1000,30,70
Defective Lead 22,Lead22,Company 321,0091-9876543210,,Director,,20,30,0
Defective Lead 23,Lead23,Company 630,(415) 555-2671,United States,Intern,Healthcare,20,7,5
Defective Lead 24,Lead24,Company 30,9876543210,IND,VP Sales,Finance,20,30,90
Defective Lead 25,Lead25,Company 277,,IN,Director,,200,15,0
Defective Lead 26,Lead26,Company 958,0044 7700 900123,UK,Intern,,1000,90,0
Defective Lead 27,Lead27,Company 1458,0044 7700 900123,UK,CTO,Healthcare,1000,3,90
Defective Lead 28,Lead28,Company 1269,,91,VP Sales,Finance,1000,1,90
Defective Lead 29,Lead29,Company 317,0044 7700 900123,44,Manager,Healthcare,5,90,90
Defective Lead 30,Lead30,Company 1425,(415) 555-2671,U.K,,Healthcare,,90,0
Defective Lead 31,Lead31,Company 1701,,USA,Intern,Finance,5,1,
Defective Lead 32,Lead32,Company 1229,(415) 555-2671,,CEO,IT,5,,70
Defective Lead 33,Lead33,Company 1530,+91 98765 43210,IN,Intern,Manufacturing,500,180,10
Defective Lead 34,Lead34,Company 91,4155552671,US,CEO,Finance,1000,3,10
Defective Lead 35,Lead35,Company 1974,0044 7700 900123,US,Intern,IT,50,90,0
Defective Lead 36,Lead36,Company 1790,+91 98765 43210,IND,VP Sales,,200,90,
Defective Lead 37,Lead37,Company 787,9876543210,IND,,,,90,10
Defective Lead 38,Lead38,Company 456,0044 7700 900123,US,CEO,,,15,5
Defective Lead 39,Lead39,Company 1559,4155552671,IN,Director,Manufacturing,500,90,30
Defective Lead 40,Lead40,Company 627,+44 7700 900123,United States,CTO,IT,20,1,5
Defective Lead 41,Lead41,Company 485,(415) 555-2671,91,,Manufacturing,20,1,0
Defective Lead 42,Lead42,Company 1426,0044 7700 900123,,,Finance,,15,70
Defective Lead 43,Lead43,Company 1310,9876543210,,Intern,Manufacturing,200,3,0
Defective Lead 44,Lead44,Company 1511,+44 7700 900123,UK,,,50,15,
Defective Lead 45,Lead45,Company 414,,,,,50,30,30
Defective Lead 46,Lead46,Company 302,,,CEO,Healthcare,200,30,90
Defective Lead 47,Lead47,Company 1423,,India,,,200,15,0
Defective Lead 48,Lead48,Company 1297,(415) 555-2671,U.K,,Manufacturing,20,,70
Defective Lead 49,Lead49,Company 1983,0044 7700 900123,U.K,Intern,Finance,20,3,5
Defective Lead 50,Lead50,Company 1378,,India,Intern,Manufacturing,200,180,30
Defective Lead 51,Lead51,Company 138,9876543210,US,Intern,Healthcare,500,3,
Defective Lead 52,Lead52,Company 8,9876543210,United States,Manager,Finance,500,,30
Defective Lead 53,Lead53,Company 1683,(415) 555-2671,44,CEO,Manufacturing,5,3,
Defective Lead 54,Lead54,Company 1945,4155552671,UK,,,20,7,10
Defective Lead 55,Lead55,Company 836,+44 7700 900123,IN,VP Sales,Healthcare,1000,30,30
Defective Lead 56,Lead56,Company 864,4155552671,UK,VP Sales,,,7,0
Defective Lead 57,Lead57,Company 1553,0044 7700 900123,91,,,,30,
Defective Lead 58,Lead58,Company 1254,0044 7700 900123,USA,,IT,,90,10
Defective Lead 59,Lead59,Company 1068,(415) 555-2671,India,Manager,Finance,5,30,5
Defective Lead 60,Lead60,Company 703,,UK,VP Sales,,200,90,70
Defective Lead 61,Lead61,Company 21,,USA,,IT,1000,90,0
Defective Lead 62,Lead62,Company 1457,0044 7700 900123,UK,CTO,,20,7,30
Defective Lead 63,Lead63,Company 1422,+44 7700 900123,91,VP Sales,Finance,20,30,30
Defective Lead 64,Lead64,Company 1174,4155552671,,CTO,Finance,,90,70
Defective Lead 65,Lead65,Company 338,+91 98765 43210,,CTO,,500,3,10
Defective Lead 66,Lead66,Company 1748,0091-9876543210,United States,,Healthcare,5,90,30
Defective Lead 67,Lead67,Company 1419,9876543210,US,,IT,500,180,90
Defective Lead 68,Lead68,Company 1776,,India,CEO,Finance,,1,30
Defective Lead 69,Lead69,Company 172,0044 7700 900123,US,CTO,Manufacturing,1000,,10
Defective Lead 70,Lead70,Company 1953,0044 7700 900123,91,,IT,500,,30
Defective Lead 71,Lead71,Company 1148,(415) 555-2671,UK,CEO,Finance,,1,30
Defective Lead 72,Lead72,Company 1323,0044 7700 900123,United States,,IT,50,,0
Defective Lead 73,Lead73,Company 160,9876543210,US,VP Sales,Healthcare,20,90,90
Defective Lead 74,Lead74,Company 1898,,,Intern,,1000,90,30
Defective Lead 75,Lead75,Company 1452,+91 98765 43210,United States,Director,Manufacturing,20,,5
Defective Lead 76,Lead76,Company 1695,,IN,,,50,15,30
Defective Lead 77,Lead77,Company 1632,4155552671,44,CEO,Finance,,90,
Defective Lead 78,Lead78,Company 927,0091-9876543210,,Intern,IT,500,3,10
Defective Lead 79,Lead79,Company 1541,,India,CEO,,,,30
Defective Lead 80,Lead80,Company 1289,,U.K,Manager,IT,5,,70
Defective Lead 81,Lead81,Company 39,+44 7700 900123,US,,,200,90,
Defective Lead 82,Lead82,Company 1684,+91 98765 43210,IND,Manager,IT,200,15,10
Defective Lead 83,Lead83,Company 1181,4155552671,U.K,,,500,1,5
Defective Lead 84,Lead84,Company 1283,(415) 555-2671,U.K,,Healthcare,1000,3,5
Defective Lead 85,Lead85,Company 1560,4155552671,USA,,Finance,20,15,
Defective Lead 86,Lead86,Company 1725,4155552671,IN,,,5,15,30
Defective Lead 87,Lead87,Company 1736,(415) 555-2671,United States,VP Sales,Finance,200,3,0
Defective Lead 88,Lead88,Company 1200,+91 98765 43210,IND,VP Sales,Finance,5,7,5
Defective Lead 89,Lead89,Company 29,+44 7700 900123,91,VP Sales,,1000,1,0
Defective Lead 90,Lead90,Company 1238,,U.K,VP Sales,,,,30
Defective Lead 91,Lead91,Company 53,0091-9876543210,United States,,IT,20,7,70
Defective Lead 92,Lead92,Company 1997,0091-9876543210,IND,CEO,,500,,70
Defective Lead 93,Lead93,Company 250,+44 7700 900123,U.K,Director,,500,3,70
Defective Lead 94,Lead94,Company 338,+44 7700 900123,,Intern,Healthcare,50,90,30
Defective Lead 95,Lead95,Company 114,,United States,Director,Finance,200,1,30
Defective Lead 96,Lead96,Company 331,9876543210,UK,VP Sales,IT,20,7,
Defective Lead 97,Lead97,Company 1102,,IND,Intern,,50,,90
Defective Lead 98,Lead98,Company 464,(415) 555-2671,,,Manufacturing,5,90,
Defective Lead 99,Lead99,Company 1642,+91 98765 43210,IN,,Manufacturing,,90,
Defective Lead 100,Lead100,Company 1183,0044 7700 900123,IND,Manager,Manufacturing,50,30,0
Defective Lead 101,Lead101,Company 1139,,India,VP Sales,,200,90,0
Defective Lead 102,Lead102,Company 1944,+91 98765 43210,44,Intern,IT,,180,90
Defective Lead 103,Lead103,Company 1857,,,,Manufacturing,1000,15,30
Defective Lead 104,Lead104,Company 1950,+44 7700 900123,United States,Intern,Healthcare,20,180,
Defective Lead 105,Lead105,Company 1560,,IN,VP Sales,,5,,0
Defective Lead 106,Lead106,Company 1028,4155552671,US,Intern,,1000,7,
Defective Lead 107,Lead107,Company 534,4155552671,UK,CEO,,,7,0
Defective Lead 108,Lead108,Company 80,+91 98765 43210,44,Manager,,5,3,30
Defective Lead 109,Lead109,Company 1113,+44 7700 900123,United States,VP Sales,,1000,180,
Defective Lead 110,Lead110,Company 586,9876543210,United States,CEO,Finance,200,180,90
Defective Lead 111,Lead111,Company 851,(415) 555-2671,44,Manager,,5,3,5
Defective Lead 112,Lead112,Company 1571,0044 7700 900123,United States,CEO,Healthcare,200,7,10
Defective Lead 113,Lead113,Company 849,+44 7700 900123,UK,,IT,5,90,70
Defective Lead 114,Lead114,Company 780,0044 7700 900123,USA,,,,180,90
Defective Lead 115,Lead115,Company 1371,9876543210,IND,CEO,,500,30,10
Defective Lead 116,Lead116,Company 871,(415) 555-2671,US,Manager,,50,3,0
Defective Lead 117,Lead117,Company 1108,0091-9876543210,91,Manager,Finance,500,7,
Defective Lead 118,Lead118,Company 533,+44 7700 900123,44,Intern,,20,90,0
Defective Lead 119,Lead119,Company 773,0091-9876543210,United States,Manager,,,1,10
Defective Lead 120,Lead120,Company 1980,0091-9876543210,UK,,Finance,500,1,30
Defective Lead 121,Lead121,Company 418,9876543210,91,,Healthcare,,1,90
Defective Lead 122,Lead122,Company 913,,U.K,Director,Manufacturing,5,1,30
Defective Lead 123,Lead123,Company 862,+91 98765 43210,U.K,Director,IT,20,180,30
Defective Lead 124,Lead124,Company 683,+91 98765 43210,,Director,Healthcare,,,70
Defective Lead 125,Lead125,Company 77,+44 7700 900123,India,CEO,Finance,,1,70
Defective Lead 126,Lead126,Company 543,4155552671,USA,Intern,Manufacturing,500,180,30
Defective Lead 127,Lead127,Company 11,,,Manager,IT,50,,
Defective Lead 128,Lead128,Company 1516,,United States,,,50,7,0
Defective Lead 129,Lead129,Company 409,,IND,,IT,20,3,0
Defective Lead 130,Lead130,Company 1738,+44 7700 900123,44,Intern,Manufacturing,1000,180,
Defective Lead 131,Lead131,Company 1653,(415) 555-2671,United States,VP Sales,Healthcare,,15,90
Defective Lead 132,Lead132,Company 1862,,91,VP Sales,,5,1,90
Defective Lead 133,Lead133,Company 325,+91 98765 43210,U.K,,IT,50,7,30
Defective Lead 134,Lead134,Company 1758,4155552671,IN,,Healthcare,500,180,0
Defective Lead 135,Lead135,Company 1077,+91 98765 43210,,CEO,,20,7,90
Defective Lead 136,Lead136,Company 236,0091-9876543210,IN,,Healthcare,50,7,5
Defective Lead 137,Lead137,Company 225,0044 7700 900123,IN,CEO,Finance,,15,70
Defective Lead 138,Lead138,Company 11,,USA,,,50,7,
Defective Lead 139,Lead139,Company 1602,,US,,Healthcare,,7,5
Defective Lead 140,Lead140,Company 1278,+44 7700 900123,USA,VP Sales,Healthcare,200,3,90
Defective Lead 141,Lead141,Company 618,0091-9876543210,IND,Intern,,500,15,90
Defective Lead 142,Lead142,Company 1813,0091-9876543210,,Director,,20,1,5
Defective Lead 143,Lead143,Company 1803,(415) 555-2671,IN,Intern,Finance,5,15,90
Defective Lead 144,Lead144,Company 1618,,,VP Sales,Finance,,3,70
Defective Lead 145,Lead145,Company 1600,,44,CTO,Finance,50,,
Defective Lead 146,Lead146,Company 718,+44 7700 900123,44,VP Sales,Finance,50,30,
Defective Lead 147,Lead147,Company 807,4155552671,India,CEO,,50,30,90
Defective Lead 148,Lead148,Company 503,,91,CEO,Healthcare,,30,30
Defective Lead 149,Lead149,Company 763,,44,Intern,IT,200,1,
Defective Lead 150,Lead150,Company 256,(415) 555-2671,US,CTO,Finance,,90,
